City_ID,City,Country,Date,Lat,Lng,Humidity,Max Temp,Cloudiness,Wind Speed
108,Danilovka,RU,2022-04-20 20:18:25,50.3557,44.1168,85,283.97,94,6.39
109,Nanortalik,GL,2022-04-20 20:18:25,60.1432,-45.2371,63,272.35,84,4.77
110,Tanete,ID,2022-04-20 20:18:26,-3.9443,119.7848,94,296.66,83,0.9
111,Mosquera,CO,2022-04-20 20:18:26,4.7059,-74.2302,77,288.2,75,0.0
112,Camacha,PT,2022-04-20 20:18:27,33.0833,-16.3333,67,287.83,40,6.17
113,Hamilton,US,2022-04-20 20:13:19,39.1834,-84.5333,36,292.28,0,6.69
114,Yarim,YE,2022-04-20 20:18:27,14.298,44.3779,50,288.29,2,1.04
115,Rio Grande,BR,2022-04-20 20:14:02,-32.035,-52.0986,67,298.21,1,4.84
116,Anadyr,RU,2022-04-20 20:18:28,64.75,177.4833,80,273.43,40,6.0
117,Cherskiy,RU,2022-04-20 20:18:28,68.75,161.3,84,263.98,98,1.86
118,Lenoir,US,2022-04-20 20:18:29,35.2335,-77.6497,30,292.12,0,2.57
119,Pangai,TO,2022-04-20 20:18:29,-19.8,-174.35,74,301.21,75,3.09
120,Yar-Sale,RU,2022-04-20 20:18:30,66.8333,70.8333,88,260.15,100,10.18
121,Talcahuano,CL,2022-04-20 20:18:30,-36.7167,-73.1167,63,287.97,20,6.17
122,Bengkulu,ID,2022-04-20 20:18:31,-3.8004,102.2655,90,297.51,100,4.07
123,Kibala,TD,2022-04-20 20:18:31,9.1104,18.3463,38,306.12,98,0.0
124,Gidole,ET,2022-04-20 20:18:32,5.65,37.3667,83,288.03,92,0.95
125,Matara,LK,2022-04-20 20:18:32,5.9485,80.5353,89,298.82,66,1.36
126,Uglekamensk,RU,2022-04-20 20:18:33,43.2172,133.2303,82,279.3,0,0.61
127,Egvekinot,RU,2022-04-20 20:18:33,66.3167,-179.1667,78,268.78,99,0.24
128,Tilichiki,RU,2022-04-20 20:18:33,60.4667,166.1,97,260.15,98,3.34
129,Fort-Shevchenko,KZ,2022-04-20 20:18:34,44.5086,50.263,86,285.02,24,3.92
130,Torbay,CA,2022-04-20 20:16:10,47.6666,-52.7314,88,281.64,100,14.92
131,Biak,ID,2022-04-20 20:18:35,-0.9131,122.8766,84,297.56,99,0.6
132,Tuatapere,NZ,2022-04-20 20:18:35,-46.1333,167.6833,98,287.64,99,1.51
133,Puerto Ayora,EC,2022-04-20 20:18:36,-0.7393,-90.3518,82,299.13,100,4.04
134,Georgetown,MY,2022-04-20 20:16:19,5.4112,100.3354,93,299.11,20,1.03
135,Guerrero Negro,MX,2022-04-20 20:19:37,27.9769,-114.0611,58,293.79,79,9.07
136,Stepnyak,KZ,2022-04-20 20:19:37,52.8339,70.7803,86,283.34,100,4.01
137,Ulaanbaatar,MN,2022-04-20 20:11:59,47.9077,106.8832,50,269.22,75,1.0
138,Saldanha,ZA,2022-04-20 20:19:38,-33.0117,17.9442,89,288.74,86,3.43
139,Port Alfred,ZA,2022-04-20 20:19:38,-33.5906,26.891,75,294.97,9,5.1
140,Pevek,RU,2022-04-20 20:19:39,69.7008,170.3133,86,264.72,100,0.79
141,San Quintin,MX,2022-04-20 20:19:39,30.4833,-115.95,62,292.3,0,10.82
142,Russell,US,2022-04-20 20:19:40,32.3502,-85.1999,34,297.75,0,5.66
143,Foumbot,CM,2022-04-20 20:19:40,5.5079,10.6356,79,294.67,100,0.86
